2026-04-15 18:52:06.331 | INFO     | __main__:analyze_models:69 -   model.layers.34.self_attn.v_proj.weight: Sparsity: 80.97% | Rank: 1024/1024
2026-04-15 18:52:07.391 | INFO     | __main__:analyze_models:69 -   model.layers.34.mlp.down_proj.weight: Sparsity: 82.21% | Rank: 2560/2560
2026-04-15 18:52:07.627 | INFO     | __main__:analyze_models:69 -   model.layers.35.self_attn.v_proj.weight: Sparsity: 82.00% | Rank: 1024/1024
2026-04-15 18:52:08.686 | INFO     | __main__:analyze_models:69 -   model.layers.35.mlp.down_proj.weight: Sparsity: 80.93% | Rank: 2560/2560
2026-04-15 18:52:08.692 | INFO     | __main__:analyze_models:72 - --> Overall Update Sparsity for ViratChauhan/Qwen3-4B-OPD-v2: 85.26% (Paper claims RL induces 70-95% sparsity)
2026-04-15 18:52:08.704 | INFO     | __main__:analyze_models:33 - ==================================================
2026-04-15 18:52:08.704 | INFO     | __main__:analyze_models:34 - Analyzing: ViratChauhan/Qwen3-4B-OPSD vs Base
2026-04-15 18:52:08.977 | INFO     | __main__:analyze_models:69 -   model.layers.0.self_attn.v_proj.weight: Sparsity: 70.18% | Rank: 1024/1024
2026-04-15 18:52:10.037 | INFO     | __main__:analyze_models:69 -   model.layers.0.mlp.down_proj.weight: Sparsity: 70.89% | Rank: 2560/2560
2026-04-15 18:52:10.274 | INFO     | __main__:analyze_models:69 -   model.layers.1.self_attn.v_proj.weight: Sparsity: 69.70% | Rank: 1024/1024
2026-04-15 18:52:11.341 | INFO     | __main__:analyze_models:69 -   model.layers.1.mlp.down_proj.weight: Sparsity: 63.66% | Rank: 2560/2560
2026-04-15 18:52:11.580 | INFO     | __main__:analyze_models:69 -   model.layers.2.self_attn.v_proj.weight: Sparsity: 71.35% | Rank: 1024/1024
2026-04-15 18:52:12.639 | INFO     | __main__:analyze_models:69 -   model.layers.2.mlp.down_proj.weight: Sparsity: 71.32% | Rank: 2560/2560
2026-04-15 18:52:12.876 | INFO     | __main__:analyze_models:69 -   model.layers.3.self_attn.v_proj.weight: Sparsity: 72.05% | Rank: 1024/1024
2026-04-15 18:52:13.936 | INFO     | __main__:analyze_models:69 -   model.layers.3.mlp.down_proj.weight: Sparsity: 68.58% | Rank: 2560/2560
2026-04-15 18:52:14.174 | INFO     | __main__:analyze_models:69 -   model.layers.4.self_attn.v_proj.weight: Sparsity: 72.24% | Rank: 1024/1024
2026-04-15 18:52:15.233 | INFO     | __main__:analyze_models:69 -   model.layers.4.mlp.down_proj.weight: Sparsity: 68.97% | Rank: 2560/2560
2026-04-15 18:52:15.470 | INFO     | __main__:analyze_models:69 -   model.layers.5.self_attn.v_proj.weight: Sparsity: 70.90% | Rank: 1024/1024
2026-04-15 18:52:16.536 | INFO     | __main__:analyze_models:69 -   model.layers.5.mlp.down_proj.weight: Sparsity: 69.52% | Rank: 2560/2560
2026-04-15 18:52:16.774 | INFO     | __main__:analyze_models:69 -   model.layers.6.self_attn.v_proj.weight: Sparsity: 71.66% | Rank: 1024/1024
2026-04-15 18:52:17.834 | INFO     | __main__:analyze_models:69 -   model.layers.6.mlp.down_proj.weight: Sparsity: 70.08% | Rank: 2560/2560
2026-04-15 18:52:18.072 | INFO     | __main__:analyze_models:69 -   model.layers.7.self_attn.v_proj.weight: Sparsity: 73.61% | Rank: 1024/1024
2026-04-15 18:52:19.138 | INFO     | __main__:analyze_models:69 -   model.layers.7.mlp.down_proj.weight: Sparsity: 70.07% | Rank: 2560/2560
2026-04-15 18:52:19.376 | INFO     | __main__:analyze_models:69 -   model.layers.8.self_attn.v_proj.weight: Sparsity: 74.31% | Rank: 1024/1024
2026-04-15 18:52:20.437 | INFO     | __main__:analyze_models:69 -   model.layers.8.mlp.down_proj.weight: Sparsity: 70.41% | Rank: 2560/2560
2026-04-15 18:52:20.675 | INFO     | __main__:analyze_models:69 -   model.layers.9.self_attn.v_proj.weight: Sparsity: 72.99% | Rank: 1024/1024
2026-04-15 18:52:21.741 | INFO     | __main__:analyze_models:69 -   model.layers.9.mlp.down_proj.weight: Sparsity: 68.66% | Rank: 2560/2560
2026-04-15 18:52:21.979 | INFO     | __main__:analyze_models:69 -   model.layers.10.self_attn.v_proj.weight: Sparsity: 72.42% | Rank: 1024/1024
2026-04-15 18:52:23.046 | INFO     | __main__:analyze_models:69 -   model.layers.10.mlp.down_proj.weight: Sparsity: 69.37% | Rank: 2560/2560
2026-04-15 18:52:23.283 | INFO     | __main__:analyze_models:69 -   model.layers.11.self_attn.v_proj.weight: Sparsity: 72.46% | Rank: 1024/1024
2026-04-15 18:52:24.343 | INFO     | __main__:analyze_models:69 -   model.layers.11.mlp.down_proj.weight: Sparsity: 70.11% | Rank: 2560/2560
2026-04-15 18:52:24.582 | INFO     | __main__:analyze_models:69 -   model.layers.12.self_attn.v_proj.weight: Sparsity: 72.42% | Rank: 1024/1024
2026-04-15 18:52:25.642 | INFO     | __main__:analyze_models:69 -   model.layers.12.mlp.down_proj.weight: Sparsity: 70.45% | Rank: 2560/2560
2026-04-15 18:52:25.879 | INFO     | __main__:analyze_models:69 -   model.layers.13.self_attn.v_proj.weight: Sparsity: 73.70% | Rank: 1024/1024
2026-04-15 18:52:26.939 | INFO     | __main__:analyze_models:69 -   model.layers.13.mlp.down_proj.weight: Sparsity: 70.68% | Rank: 2560/2560
2026-04-15 18:52:27.178 | INFO     | __main__:analyze_models:69 -   model.layers.14.self_attn.v_proj.weight: Sparsity: 72.14% | Rank: 1024/1024
2026-04-15 18:52:28.238 | INFO     | __main__:analyze_models:69 -   model.layers.14.mlp.down_proj.weight: Sparsity: 70.50% | Rank: 2560/2560
2026-04-15 18:52:28.474 | INFO     | __main__:analyze_models:69 -   model.layers.15.self_attn.v_proj.weight: Sparsity: 72.22% | Rank: 1024/1024
2026-04-15 18:52:29.534 | INFO     | __main__:analyze_models:69 -   model.layers.15.mlp.down_proj.weight: Sparsity: 70.49% | Rank: 2560/2560
2026-04-15 18:52:29.773 | INFO     | __main__:analyze_models:69 -   model.layers.16.self_attn.v_proj.weight: Sparsity: 71.90% | Rank: 1024/1024
2026-04-15 18:52:30.834 | INFO     | __main__:analyze_models:69 -   model.layers.16.mlp.down_proj.weight: Sparsity: 71.19% | Rank: 2560/2560
